NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Outliers,Interpretation
16.0,8.4,3.0,1.4,12.0,84.0,0.7,1.2,2.4,1.6,1.8,1.2,1.1,3.1,3375.0,11.0,1019.0,89.0,1388.0,1.1,0.3,2.5,1.2,107.9,0.1,Normal,['AG'],Condition satisfactory.
15.0,9.8,3.4,1.4,29.0,74.0,1.0,1.3,2.2,1.5,2.1,1.2,1.1,2.0,3456.0,9.6,979.0,91.0,1397.0,1.1,0.3,2.8,1.2,108.0,0.1,Normal,['AG'],Condition satisfactory.
16.0,7.4,2.1,1.3,15.0,59.0,0.8,1.1,2.2,1.5,1.7,1.1,1.1,2.1,3508.0,10.0,1005.0,94.0,1423.0,1.1,0.2,2.2,1.2,108.4,0.1,Normal,['AG'],Condition satisfactory.
14.0,7.4,1.2,0.7,13.0,90.0,3.5,0.0,0.4,0.0,19.0,0.1,0.0,0.2,3006.0,9.1,1184.0,100.0,1231.0,2.3,0.0,0.8,0.0,115.8,0.1,Normal,['MN'],Condition satisfactory.
14.0,9.4,5.0,0.8,49.0,216.0,1.3,0.4,1.7,0.0,2.8,0.2,0.1,0.3,3312.0,12.0,1063.0,117.0,1349.0,0.3,0.1,1.0,0.1,105.3,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
15.0,7.6,2.9,0.6,22.0,154.0,1.7,0.0,1.5,0.0,1.7,0.1,0.1,0.2,3422.0,12.0,1098.0,123.0,1366.0,0.2,0.1,1.2,0.0,107.5,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
16.0,8.3,3.1,0.5,15.0,146.0,1.4,0.7,1.8,0.0,1.4,0.1,0.1,0.2,3263.0,15.0,1032.0,108.0,1382.0,0.3,0.1,1.2,0.0,105.8,0.1,Normal,[],Condition satisfactory. 
12.0,9.5,2.4,1.1,12.0,67.0,4.0,0.0,3.3,0.9,6.8,0.5,1.3,0.0,2706.0,23.0,1541.0,75.0,1113.0,1.7,0.8,0.0,0.0,119.0,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
12.0,8.4,2.4,1.0,11.0,62.0,6.1,0.0,3.0,0.9,11.0,0.5,1.3,0.0,2517.0,20.0,1486.0,69.0,1031.0,1.9,0.8,0.0,0.0,122.7,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
14.0,10.0,2.9,1.3,12.0,82.0,3.5,0.0,1.0,0.8,7.0,0.6,1.3,0.0,2788.0,10.0,1565.0,77.0,1120.0,2.6,0.8,0.0,0.0,127.6,0.1,Normal,[],Condition satisfactory.
14.0,11.0,2.3,1.1,9.4,61.0,1.6,1.0,0.9,0.9,9.5,0.5,1.3,0.0,2845.0,10.0,1550.0,78.0,1141.0,2.5,0.8,0.0,0.0,126.8,0.1,Normal,[],Condition satisfactory.
19.0,14.0,1.7,0.7,6.6,20.0,95.0,0.7,1.1,0.9,0.8,0.4,1.3,1.7,3645.0,11.0,1166.0,95.0,1499.0,0.5,5.7,0.0,0.0,105.6,0.1,Caution,"['PB', 'LI']",Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
9.8,16.0,5.6,1.1,27.0,138.0,1.1,0.7,2.9,0.9,1.4,0.6,1.3,0.0,2324.0,13.0,872.0,61.0,1117.0,0.7,0.8,3.8,0.0,76.2,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
4.5,13.0,2.9,1.8,45.0,216.0,1.3,1.5,1.8,0.8,2.3,0.6,1.3,0.0,856.0,8.6,575.0,23.0,726.0,1.0,0.8,0.0,0.0,49.9,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
6.8,13.0,2.8,1.2,28.0,124.0,1.0,1.0,2.0,0.9,1.3,0.5,1.3,0.0,1461.0,10.0,693.0,38.0,892.0,0.6,0.8,0.0,0.0,66.5,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
7.2,5.4,5.9,2.2,58.0,248.0,0.9,4.6,0.8,0.8,1.5,0.4,1.3,0.0,214.0,3.3,472.0,181.0,19.0,1.0,1.0,0.0,0.0,33.0,0.1,Serious,"['SN', 'ZN']",Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
14.0,8.1,2.8,0.9,14.0,65.0,0.9,1.4,1.7,0.8,0.9,0.5,1.3,0.0,3506.0,13.0,1139.0,95.0,1467.0,0.4,0.7,0.0,0.0,107.5,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
