NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Interpretation
4.0,1.2,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,1.6,0.0,0.0,0.5,1.1,0.0,2.5,0.1,1.7,0.0,0.0,0.6,0.0,,,Normal,Condition satisfactory.
2.1,11.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.9,0.0,0.0,0.4,0.0,0.0,1.7,3.9,0.1,0.0,0.0,0.5,0.0,,,Serious,Silicon evident suggesting possible ingress of environmental contamination or a Silicon based product (e.g.  Silicon grease/assembly compound). Action should be taken to correct. Removal of the solid debris is recommended before further use of this fuel. 
2537.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.8,1740.0,0.0,0.0,0.0,60.0,0.0,,,Caution,Visible debris present; but not considered significant. Glycol content indicates sufficient freeze and corrosion protection. Advise monitor at the recommended sampling period.
2221.0,8.4,0.0,0.0,0.0,0.5,0.9,0.0,5.3,0.0,0.0,0.0,0.0,0.0,19.0,0.0,25.0,1426.0,0.0,0.0,0.0,288.0,0.0,,,Normal,Condition satisfactory.
1883.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.9,1.8,1263.0,0.0,0.0,0.0,87.0,0.0,,,Serious,Visible debris present. The glycol level is below recommended limits. Advise drain system and refill with recommended mixture.  
1.8,3.2,0.8,0.1,12.0,0.7,1.4,0.4,0.4,1.2,0.2,0.5,0.5,0.0,8.5,0.0,133.0,4.1,93.0,0.2,0.1,1.1,0.2,61.3,0.1,Normal,Condition satisfactory.
1.9,2.0,0.8,0.0,1.6,0.5,1.9,0.0,0.5,1.2,0.2,0.5,0.5,0.0,12.0,0.0,135.0,4.1,90.0,0.2,0.2,1.2,0.2,49.9,0.1,Normal,Condition satisfactory.
2.0,2.5,1.1,0.3,0.9,0.9,0.4,0.0,0.4,1.2,0.3,0.5,0.5,0.0,3.3,0.0,90.0,3.9,32.0,0.2,0.2,1.1,0.2,62.0,0.1,Normal,Condition satisfactory.
1.7,3.1,1.0,0.0,3.2,0.4,0.8,0.0,0.5,1.2,0.2,0.5,0.5,0.0,18.0,0.0,278.0,4.1,364.0,0.3,0.1,1.0,0.2,66.4,0.1,Normal,Condition satisfactory.
1.6,1.8,0.8,0.0,4.9,0.4,0.6,0.0,0.4,1.2,0.2,0.5,0.5,0.0,41.0,0.2,300.0,3.9,408.0,0.2,0.1,1.1,0.3,64.8,0.1,Normal,Condition satisfactory.
1.7,5.0,0.9,0.1,1.4,1.3,0.3,0.0,0.5,1.2,0.3,0.5,0.5,0.0,39.0,0.6,288.0,4.0,380.0,0.2,0.1,1.1,0.2,62.7,0.1,Normal,Condition satisfactory.
0.0,6.1,0.5,0.0,0.9,0.3,0.5,1.2,0.0,0.0,0.0,0.1,0.1,0.0,28.0,0.6,262.0,0.0,341.0,0.2,0.2,0.4,0.0,62.7,0.1,Normal,Condition satisfactory.
0.0,6.0,0.4,0.1,0.8,0.5,0.7,1.1,0.2,0.0,0.0,0.1,0.1,0.0,31.0,1.4,303.0,0.0,398.0,0.3,0.2,0.6,0.0,61.2,0.1,Normal,Condition satisfactory.
0.0,5.2,0.4,0.0,3.0,0.3,1.0,1.3,0.0,0.0,0.0,0.1,0.1,0.0,23.0,0.4,244.0,0.0,309.0,0.3,0.2,0.4,0.0,62.2,0.1,Normal,Condition satisfactory.
0.0,6.8,0.5,0.0,1.1,0.3,0.6,1.3,0.0,0.0,0.0,0.1,0.1,0.0,24.0,0.4,259.0,0.0,336.0,0.3,0.2,0.0,0.0,63.2,0.1,Normal,Condition satisfactory.
0.3,5.3,0.3,0.0,0.5,0.3,0.9,1.2,0.2,0.0,0.0,0.1,0.1,0.0,31.0,0.8,287.0,0.0,368.0,0.2,0.2,0.0,0.0,62.8,0.1,Normal,Condition satisfactory.
0.0,3.8,0.5,0.0,0.3,0.7,0.4,1.3,0.0,0.0,0.0,0.1,0.1,0.0,22.0,0.4,240.0,0.0,302.0,0.2,0.2,0.8,0.0,63.2,0.1,Normal,Condition satisfactory.
0.0,5.6,0.4,0.0,0.5,0.5,0.5,1.5,0.1,0.0,0.0,0.1,0.1,0.0,27.0,0.8,263.0,0.0,340.0,0.2,0.2,0.0,0.0,62.7,0.1,Normal,Condition satisfactory.
