CustomerSAPCode,CustomerName,SiteSAPCode,SiteName,ProductSAPCode,ProductTelRef,ProductName,Timestamp,Received Date,Report Date,Report Time,Oil Age in Hours,Interpretation,FCA Term Found,FCA Fault Code,FCA Service,AN,BN,NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,ZR,CD,S,KV40,KV100,Water KF Oven,Soot,Partical Count 4,Particle Count 6,Particle Count 14,ISO Code (3 figure),Flash FTIR,Diesel % in Oil,BN IP276,Ox Drect Area,Glycol %,PQ Index,Neut No.,Water,PRVOT,Status
,ARJO WIGGINS - Aberdeen,,0C40CRANE,,10861090,FUCHS RENOLIN CLP GEAR OIL,03/07/2022 00:00:00,2022-07-01,2022-07-03,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,0.4,1.5,0.4,0.5,0.1,1.6,0.0,0.9,0.4,0.0,0.2,0.6,0.6,0.0,0.0,0.2,360.0,14.0,0.0,0.3,1.5,1.1,,0.4,,449.6,,,,,,,,,,,,,10,,0.1,,Normal
,ARJO WIGGINS - Aberdeen,,0C40CRANE,,10861091,FUCHS RENOLIN CLP GEAR OIL,03/07/2022 00:00:00,2022-07-01,2022-07-03,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,0.3,0.8,0.3,0.4,0.1,1.1,0.0,0.0,0.5,0.0,0.2,0.6,0.6,0.1,0.0,0.2,282.0,12.0,0.5,0.3,1.5,1.1,,0.4,,448.5,,,,,,,,,,,,,10,,0.1,,Normal
,BRITISH STEEL - SCUNTHORPE,,STEELMAKINGCRANES,,570484,FUCHS RENOLIN CLP GEAR OIL,08/03/2022 00:00:00,2022-03-04,2022-03-08,4,,Visible debris present. The level of aluminium suggests possible wear of casing/torque convertor. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention. Sample appears unsuitable for ISO code. ,lead,Wear Metals,Training,,,7.5,48.0,33.0,0.5,0.4,46.0,74.0,0.0,0.2,0.8,7.1,1.3,0.3,0.0,195.0,48.0,194.0,2.1,51.0,0.3,0.2,5.2,,0.0,,482.3,,,,,,,,,,,,,157,0.19,0.1,,Caution
,BRITISH STEEL - SCUNTHORPE,,STEELMAKINGCRANES,,570484,FUCHS RENOLIN CLP GEAR OIL,20/10/2022 00:00:00,2022-10-17,2022-10-20,3,,High Aluminium evident indicating possible bearing/casing wear or Aluminium based grease source. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention. Sample appears unsuitable for ISO code.  ,lead,Wear Metals,Training,,,6.9,60.0,41.0,0.6,0.4,68.0,65.0,0.0,0.4,0.0,8.7,1.5,0.2,0.7,272.0,80.0,280.0,1.8,55.0,0.4,0.0,4.2,,0.0,,468.8,,,,,,,,,,,,,50,0.21,0.1,,Caution
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,07/04/2022 00:00:00,2022-04-06,2022-04-07,1,,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period.,satisfactory,Satisfactory,N/A,,,20.0,20.0,4.2,0.5,7.8,32.0,0.3,0.0,0.0,3.0,0.4,0.1,0.0,0.5,12.0,3.8,264.0,23.0,11.0,0.1,2.3,14.0,,0.0,,467.4,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,07/04/2022 00:00:00,2022-04-06,2022-04-07,1,,Visible debris present. Potassium suggests ingress of environmental contamination. Wear appears satisfactory. Advice : Resample at the next service intervention. ,iron,Wear Metals,Training,,,26.0,28.0,0.7,0.2,5.5,35.0,0.0,2.3,0.1,0.0,0.3,0.1,0.1,0.6,54.0,16.0,273.0,10.0,12.0,0.6,1.3,33.0,,0.0,8432.0,474.8,,,,,,,,,,,,,10,,0.1,,Caution
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,22/04/2022 00:00:00,2022-04-20,2022-04-22,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,17.0,23.0,3.3,0.3,6.7,31.0,0.0,0.0,0.0,2.6,0.3,0.1,0.0,0.2,7.5,1.5,273.0,16.0,9.0,0.1,1.8,10.0,,0.0,,480.1,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,22/04/2022 00:00:00,2022-04-20,2022-04-22,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,14.0,25.0,2.6,0.3,4.1,26.0,0.0,0.0,0.0,2.7,0.2,0.1,0.0,0.1,9.9,0.8,263.0,15.0,8.3,0.1,1.3,8.3,,0.0,,473.1,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,23/05/2022 00:00:00,2022-05-20,2022-05-23,3,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,14.0,20.0,0.4,0.2,6.1,33.0,0.2,0.1,0.0,0.0,0.3,0.1,0.0,0.3,7.3,1.6,292.0,8.8,9.7,0.0,1.0,6.1,,0.0,,482.2,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,23/05/2022 00:00:00,2022-05-20,2022-05-23,3,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,13.0,33.0,0.2,0.1,3.8,34.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.6,10.0,2.7,288.0,8.2,8.6,0.0,0.7,7.0,,0.0,,477.1,,,,,,,,,,,,,38,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,06/07/2022 00:00:00,2022-07-05,2022-07-06,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,11.0,22.0,0.4,0.2,5.4,36.0,0.1,0.4,0.0,0.0,0.3,0.1,0.0,0.4,8.2,2.5,295.0,10.0,12.0,0.1,0.9,6.8,,0.0,,480.9,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,06/07/2022 00:00:00,2022-07-05,2022-07-06,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,17.0,25.0,0.4,0.2,4.5,39.0,0.2,0.1,0.1,0.0,0.3,0.1,0.0,0.5,26.0,5.4,287.0,10.0,15.0,0.0,0.9,14.0,,0.0,,472.0,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,06/08/2022 00:00:00,2022-08-05,2022-08-06,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,13.0,19.0,0.3,0.2,4.9,36.0,0.4,0.0,0.1,0.0,0.3,0.1,0.0,0.4,14.0,3.8,290.0,9.9,11.0,0.3,0.9,9.1,,0.0,,479.1,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,06/08/2022 00:00:00,2022-08-05,2022-08-06,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,14.0,21.0,0.2,0.2,4.2,34.0,0.3,0.1,0.0,0.0,0.3,0.1,0.0,0.4,17.0,4.1,283.0,9.6,17.0,0.1,0.8,10.0,,0.0,,468.1,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,08/09/2022 00:00:00,2022-09-06,2022-09-08,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,11.0,15.0,0.6,0.2,3.8,27.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.2,9.5,2.6,242.0,7.9,8.2,0.1,0.6,7.6,,0.0,,485.6,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,08/09/2022 00:00:00,2022-09-06,2022-09-08,2,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,13.0,26.0,0.4,0.1,3.2,34.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.5,17.0,4.5,284.0,9.0,10.0,0.1,0.6,10.0,,0.0,,479.4,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,08/10/2022 00:00:00,2022-10-07,2022-10-08,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,9.8,15.0,0.4,0.3,4.0,43.0,0.0,0.8,0.2,0.0,0.3,0.1,0.0,0.7,11.0,3.4,281.0,9.7,11.0,0.1,0.6,8.5,,0.0,,471.7,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,08/10/2022 00:00:00,2022-10-07,2022-10-08,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,2.7,6.4,0.0,0.1,1.3,13.0,1.0,1.2,0.0,0.0,0.1,0.0,0.0,1.0,3.6,1.8,215.0,6.6,7.0,0.0,0.3,2.6,,0.0,,471.6,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,02/11/2022 00:00:00,2022-11-01,2022-11-02,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.3,11.0,0.0,0.1,2.5,32.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,11.0,1.6,263.0,6.3,9.8,0.0,0.2,7.8,,0.0,,470.6,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,02/11/2022 00:00:00,2022-11-01,2022-11-02,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.1,13.0,0.0,0.1,1.8,33.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,8.5,1.6,284.0,6.4,7.5,0.0,0.2,7.0,,0.0,,474.7,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5094728,FUCHS RENOLIN CLP GEAR OIL,29/11/2022 00:00:00,2022-11-29,2022-11-29,0,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,4.5,11.0,0.0,0.2,2.7,35.0,0.0,1.4,0.0,0.0,0.2,0.0,0.0,0.1,10.0,2.9,291.0,8.0,7.6,0.0,0.2,8.1,,0.0,,482.1,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH,,CPL_CONVEYORS,,5174267,FUCHS RENOLIN CLP GEAR OIL,29/11/2022 00:00:00,2022-11-29,2022-11-29,0,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,4.4,13.0,0.0,0.1,1.9,35.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.1,7.3,1.8,306.0,8.0,6.6,0.0,0.1,6.0,,0.0,,477.4,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,4724477,FUCHS RENOLIN CLP GEAR OIL,10/01/2022 00:00:00,2022-01-06,2022-01-10,4,,The Sodium & Potassium level suggests Clay/Potash Contamination. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends.,sodium,Contamination,Appraisal,,,81.0,23.0,3.5,0.4,5.7,43.0,0.8,0.0,1.0,1.3,1.2,1.2,1.1,0.8,26.0,6.7,307.0,14.0,20.0,0.6,2.7,39.0,,0.8,,485.9,,,,,,,,,,,,,12,,0.1,,Caution
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,4724478,FUCHS RENOLIN CLP GEAR OIL,10/01/2022 00:00:00,2022-01-06,2022-01-10,4,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,27.0,9.0,1.8,0.2,1.9,16.0,0.8,0.0,1.0,1.3,0.9,1.1,1.1,0.4,13.0,2.4,217.0,11.0,11.0,0.3,0.9,13.0,,0.8,,464.5,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,4724479,FUCHS RENOLIN CLP GEAR OIL,10/01/2022 00:00:00,2022-01-06,2022-01-10,4,,Visible debris present. Potassium suggests ingress of environmental contamination. Wear appears satisfactory. Advice : Resample at the next service intervention. ,iron,Wear Metals,Training,,,43.0,17.0,2.2,0.5,3.0,47.0,0.8,0.0,1.0,1.3,1.1,1.2,1.1,0.7,28.0,6.1,311.0,14.0,14.0,0.4,1.3,25.0,,0.8,,478.5,,,,,,,,,,,,,10,,0.1,,Caution
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,4791171,FUCHS RENOLIN CLP GEAR OIL,12/01/2022 00:00:00,2022-01-06,2022-01-12,6,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,10.0,22.0,4.1,1.2,3.4,56.0,0.5,0.1,0.1,1.9,0.6,0.3,0.0,0.6,18.0,6.2,267.0,19.0,10.0,0.3,0.6,13.0,,0.0,,472.2,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,4791172,FUCHS RENOLIN CLP GEAR OIL,12/01/2022 00:00:00,2022-01-06,2022-01-12,6,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,8.7,22.0,3.5,0.9,0.7,51.0,0.3,0.0,0.0,1.8,0.5,0.3,0.1,0.1,15.0,4.7,209.0,18.0,5.6,0.2,0.4,11.0,,0.0,,458.8,,,,,,,,,,,,,10,,0.1,,Normal
,CLEVELAND POTASH - INFRASTRUCTURE,,CEN_CPL_INFRASTRUC,,5174263,FUCHS RENOLIN CLP GEAR OIL,12/01/2022 00:00:00,2022-01-06,2022-01-12,6,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,5.6,12.0,3.8,0.9,12.0,53.0,0.6,0.2,0.0,1.9,0.4,0.2,0.0,0.1,8.3,1.0,217.0,19.0,20.0,0.2,1.0,3.6,,0.0,,475.9,,,,,,,,,,,,,10,,0.1,,Normal
