CustomerSAPCode,CustomerName,SiteSAPCode,SiteName,ProductSAPCode,ProductTelRef,ProductName,Timestamp,Received Date,Report Date,Report Time,Oil Age in Hours,Interpretation,FCA Term Found,FCA Fault Code,FCA Service,AN,BN,NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,ZR,CD,S,KV40,KV100,Water KF Oven,Soot,Partical Count 4,Particle Count 6,Particle Count 14,ISO Code (3 figure),Flash FTIR,Diesel % in Oil,BN IP276,Ox Drect Area,Glycol %,PQ Index,Neut No.,Water,PRVOT,Status
,A & M Generators,,CEN_WWL_AMGENERATORS,,5626099,NOT GIVEN,29/04/2022 00:00:00,2022-04-28,2022-04-29,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,4.0,1.2,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,1.6,0.0,0.0,0.5,1.1,0.0,2.5,0.1,1.7,0.0,0.0,0.6,,0.0,,,,30,,,,,,,,,,,,,,,Normal
,A & M Generators,,CEN_WWL_AMGENERATORS,,5626098,NOT GIVEN,03/05/2022 00:00:00,2022-04-28,2022-05-03,5,,Silicon evident suggesting possible ingress of environmental contamination or a Silicon based product (e.g.  Silicon grease/assembly compound). Action should be taken to correct. Removal of the solid debris is recommended before further use of this fuel. ,iron,Wear Metals,Training,,,2.1,11.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.9,0.0,0.0,0.4,0.0,0.0,1.7,3.9,0.1,0.0,0.0,0.5,,0.0,,,,104,,,,,,,,,,,,,,,Serious
,A & M Generators,,CEN_WWL_AMGENERATORS,,5669471,NOT GIVEN,21/06/2022 00:00:00,2022-06-20,2022-06-21,1,,Visible debris present; but not considered significant. Glycol content indicates sufficient freeze and corrosion protection. Advise monitor at the recommended sampling period.,glycol,Fluid Condition,Training,,,2537.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.8,1740.0,0.0,0.0,0.0,60.0,,0.0,,,,,,,,,,,,,,39,,,,,Caution
,A & M Generators,,CEN_WWL_AMGENERATORS,,5669472,NOT GIVEN,21/06/2022 00:00:00,2022-06-20,2022-06-21,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,2221.0,8.4,0.0,0.0,0.0,0.5,0.9,0.0,5.3,0.0,0.0,0.0,0.0,0.0,19.0,0.0,25.0,1426.0,0.0,0.0,0.0,288.0,,0.0,,,,,,,,,,,,,,39,,,,,Normal
,A & M Generators,,CEN_WWL_AMGENERATORS,,5669470,NOT GIVEN,22/06/2022 00:00:00,2022-06-20,2022-06-22,2,,Visible debris present. The glycol level is below recommended limits. Advise drain system and refill with recommended mixture.  ,glycol,Fluid Condition,Training,,,1883.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.9,1.8,1263.0,0.0,0.0,0.0,87.0,,0.0,,,,,,,,,,,,,,30,,,,,Serious
,ADSHEAD RADCLIFFE & CO LTD,,OVO2043371,,5653212,NOT GIVEN,26/05/2022 00:00:00,2022-05-25,2022-05-26,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.8,3.2,0.8,0.1,12.0,0.7,1.4,0.4,0.4,1.2,0.2,0.5,0.5,0.0,8.5,0.0,133.0,4.1,93.0,0.2,0.1,1.1,,0.2,,61.3,,,,4837,1403,170,19/18/15,,,,,,10,,0.1,,Normal
,ADSHEAD RADCLIFFE & CO LTD,,OVO2043371,,5653215,NOT GIVEN,26/05/2022 00:00:00,2022-05-25,2022-05-26,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.9,2.0,0.8,0.0,1.6,0.5,1.9,0.0,0.5,1.2,0.2,0.5,0.5,0.0,12.0,0.0,135.0,4.1,90.0,0.2,0.2,1.2,,0.2,,49.9,,,,5697,1508,106,20/18/14,,,,,,10,,0.1,,Normal
,ADSHEAD RADCLIFFE & CO LTD,,OVO2043371,,5653216,NOT GIVEN,26/05/2022 00:00:00,2022-05-25,2022-05-26,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,2.0,2.5,1.1,0.3,0.9,0.9,0.4,0.0,0.4,1.2,0.3,0.5,0.5,0.0,3.3,0.0,90.0,3.9,32.0,0.2,0.2,1.1,,0.2,,62.0,,,,7569,2681,239,20/19/15,,,,,,10,,0.1,,Normal
,ADSHEAD RADCLIFFE & CO LTD,,OVO2043371,,5653217,NOT GIVEN,26/05/2022 00:00:00,2022-05-25,2022-05-26,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.7,3.1,1.0,0.0,3.2,0.4,0.8,0.0,0.5,1.2,0.2,0.5,0.5,0.0,18.0,0.0,278.0,4.1,364.0,0.3,0.1,1.0,,0.2,,66.4,,,,18168,2291,103,21/18/14,,,,,,10,,0.1,,Normal
,ADSHEAD RADCLIFFE & CO LTD,,OVO2043371,,5653219,NOT GIVEN,26/05/2022 00:00:00,2022-05-25,2022-05-26,1,,Condition satisfactory.,satisfactory,Satisfactory,N/A,,,1.6,1.8,0.8,0.0,4.9,0.4,0.6,0.0,0.4,1.2,0.2,0.5,0.5,0.0,41.0,0.2,300.0,3.9,408.0,0.2,0.1,1.1,,0.3,,64.8,,,,4093,648,49,19/17/13,,,,,,10,,0.1,,Normal
